ayush_term,icd_code,icd_title
Kaphaja Parinama Shoola,DA44.3,Ulcer with heaviness
Kaphaja Pleeharoga,DB92.2,Congestive splenopathy
Kaphaja Prameha,5A10.0,Type 2 diabetes with metabolic heaviness
Kaphaja Pratishaya,CA01.1,Allergic rhinitis
Kaphaja Pratishyaya,CA01.2,Rhinitis – chronic congestive type
Kaphaja Pravahika,DA64.1,Chronic dysentery with mucus
Kaphaja Shotha,MG30.2,Congestive-fluid edema
Kaphaja Shwasa,CA23.1,Chronic bronchitis-type cough
Kaphaja Udavarta,DA16.1,Obstructive reverse peristalsis
Kaphaja Unmada,6A40.3,Depressive-psychotic features
Kaphaja Vidradhi,1F01.0,Subcutaneous abscess
Kaphaja Yonivyapad,GA30.2,Vaginal discharge syndrome
Kaphavrita Anaha,DA93,Constipation unspecified
Kaphodara,DB94.3,Chylous ascites
Karna Daha,AB20.1,Ear inflammation burning type
Karna Kandu,H92.0,Itching of ear
Karna Kshveda,BA02.1,Subjective tinnitus
Karna Kshweda,AB21.1,Noise-induced tinnitus
Karna Nada,BA02,Tinnitus
Karna Roga,AB20,External ear infection
Karna Sada,BA0Z,Ear disorder unspecified
Karna Shoola,BA00,Otalgia
Karna Srava,AB22,Otorrhea
Karna Strava,BA01,Otorrhea
Karnapoorna,H61.2,Impacted cerumen
Karnaroga (Karna-Nada),H93.1,Tinnitus
Karnashoola,H92.0,Otalgia (ear pain)
Kasa,CA23,Cough
Kasa Shwasa Samprapti,CA25,Respiratory infection unspecified
Kati Shoola,MG30.1,Low back pain
Kati Shula,ME84.2,Low back pain (lumbago)
Katigraha,ME84.2,Low back pain
Khalitya,LD84,Androgenetic alopecia
Khanja,FA20.1,Limping due to joint disease
Kitibha,EA81,Psoriasis
Klaibya,GA21.1,Erectile dysfunction
Kotha (Udumbara Kotha),EA80.2,Allergic urticaria
Kricha Shwasa,CA40,Dyspnea (shortness of breath)
Krimi,1F6Z,Helminthiasis unspecified
Krimi (parasitic infection),1F6Z,Helminthiasis unspecified
Krimi Janya Shotha,1F6Z,Parasitic edema
Krimigranthi,1F6Z,Helminthiasis unspecified
Krimija Atisara,1F6Z.3,Parasitic diarrhea
Krimija Chardi,1F6Z.2,Parasitic nausea
Krimija Shirashoola,1F6Z.1,Parasitic headache
Krodha,6B21,Impulse-control emotional dysregulation
Kroshtuka Shira,FA00.1,Patellofemoral pain syndrome
Kruchra Mutrata,MB52.0,Dysuria
Kshaya,5B54,Protein-energy malnutrition
Kshaya Jwara,5B60,Malnutrition fever
Kshayaja Kasa,CA23.3,Tubercular cough pattern
Ksheena Shwasa,CA40,Respiratory insufficiency
Kshudra Kushtha,EA80.0,Non-specific dermatitis
Kukkutanda Shoola,ND00.1,Orchitis
Kukshi Shoola,DA20,Abdominal pain
Kumbh Kamala,DB10.4,Severe obstructive jaundice
Kumudvati,GA15,PCOS
Kushta,1B50,Pityriasis rosea
Kushtha,EA80.1,Chronic dermatitis
Kustha,EA82,Chronic skin disease (unspecified)
Kustha (select dermatoses),1B50,Chronic dermatitis
Linganaasha,9D90,Blindness (unspecified)
Linganasha,9B82,Vision loss
Linganastha,9B70,Astigmatism
Madanapal,4A00.0,Food poisoning
Madhumeha,5A11,Type 2 diabetes mellitus
Madhumehajanya Dristi,9D71.3,Diabetic retinopathy
Mahahikka,CA28.1,Intractable hiccups
Mahakushtha,EA80.2,Severe chronic dermatitis
Mahashwasa,CA23.9,Severe respiratory distress
Majjagata Vata,FA24,Bone marrow-related disorder (unspecified)
Mamsa Vriddhi,5B40.0,Localized muscle hypertrophy
Manovaha (mental health presentations),6A00,Mental and behavioural disorders
Mansavrita Srotodushti,FA11.0,Myositis
Manyastambha,FA21,Cervical spondylosis / neck stiffness
Masurika,1A80,Chickenpox
Meda Vriddhi,5B52,Obesity
Moha,6B42,Confusional state
Mootra Kshaya,GB30.1,Oliguria
Mootra Vriddhi,5C70,Polyuria
Mridbhakshana-janya Pandu,3A73,Pica-related anemia
Mritavastha garbha,KA70,Intrauterine fetal death
Mukha Dourgandhya,DA05.1,Halitosis
Mukha Paaka,DA02,Stomatitis
Mukha Shopha,DA02.1,Oral mucosal swelling
Mukha Shosha,DA0Z,Oral dryness
Mukhapaka,DA11,Stomatitis
Mukhapaka Vrana,DA02.2,Recurrent aphthous ulcer
Mukharoga,DA10,Oral inflammatory disorder
Murcha,8B11.0,Syncope
Murchha,8A05,Syncope
Mutra Ashmari,MB64.2,Calculus of kidney
Mutra Daha,MB52.1,Burning micturition
Mutra Granthi,MB63,Prostate enlargement
Mutra Jwara,MG47,Urogenital fever
Mutra Kshaya,MB21,Oliguria
Mutra Puyatha,MB53,Pyuria
Mutra Shmari,MB64.2,Renal calculus
Mutra Vega Dharana,MB40,Urinary retention
Mutra Vidvrita,MB44.1,Chronic cystitis
Mutra Vriddhi,MB40.1,Bladder dysfunction
Mutragata Jwara,MG47,Fever of unknown origin
Mutraghata,MB22,Urinary retention
Mutraghata (Vatakriccha),MB52.2,Obstructive urinary symptoms
Mutrakriccha,MB20,Dysuria
Mutrakricchra,MB44.0,Dysuria
Mutrakrichra,GC30.0,Acute cystitis
Mutrakshaya,MB40,Reduced urine output
Mutrashmari,MB64.2,Calculus of kidney
Mutrasrava (urinary discharge),MB40,Urinary tract infection (site-dependent)
Napumsakata,GA21.3,Hypogonadism
Nasa Shopha,CA21.5,Nasal mucosal edema
Nasa Shosha,CA21.4,Dry nose
Nasagata Roga,CA0Z,Nasal disorder unspecified
Nasagata Roga (Pratishyaya),CA21.0,Acute rhinitis
Netra Abhishyanda,9A00,Conjunctivitis
Netra Daha,9A09,Eye irritation
Netra Shoola,9D00.2,Eye pain
Netra Shotha,9A30,Periorbital swelling
Netra Sukshma Roga,9A40,Dry eye syndrome
Netraabhishyanda,9A40,Conjunctivitis
Nidranasha,7A00,Insomnia
Nilika,EC72.0,Bruising (contusion)
Ojokshaya,5B40,Immunodeficiency unspecified
Oshtha Daha,DA12,Lip inflammation
Oshtha Shosha,DA13,Cheilitis
Paittika Jwara,1E30.1,Viral fever with rash
Paittika Shiroroga,8A80.1,Vascular headache
Pakshaghata,8B20,Hemiplegia
Pakshavadha,8B23,Unilateral paralysis (stroke sequelae)
Pama,1F21,Scabies
Pama (skin infection/exanthem),1F30,Impetigo / superficial skin infection
Pandu,3A00,Iron deficiency anemia
Pandu Pleeha,DB90.1,Splenomegaly associated with anemia
Pandu Roga,5D42,Iron deficiency anemia
Pangu,8E52,Motor impairment (gait abnormality)
Parikartika,MA02.0,Anal fissure
Parinama Shoola,DA25.1,Peptic ulcer-like syndrome
Parshva Shoola,MG30.0,Flank pain
Patalagata Timira,9B71.2,Cortical cataract
Peenasa,CA22,Chronic rhinitis
Phiranga,1A70,Syphilis
Phthisis (Kshaya suspected TB),1A20.0,Tuberculosis of lung (pulmonary TB) [confirm clinically]
Pinasa,CA01,Acute rhinitis
Pitta Shoola,DA09.3,Heat gastritis pain
Pitta Shotha,MG30.3,Heat-related swelling
Pitta Vriddhi,DA64,Acid-related disorder
Pitta-vidagdha Timira,9B71.3,Nuclear cataract
Pittaja Amlapitta,DA25.3,Hyperacidity syndrome
Pittaja Anidra,7B00.2,Short-duration sleep with restlessness
Pittaja Annadrava Shoola,DA45.1,Inflammatory gastric pain
Pittaja Apasmara,8E40.1,Epilepsy with aura
Pittaja Arsha,MA02.1,Bleeding hemorrhoids
Pittaja Artava-dushti,GA33.2,Scanty hot bleeding
Pittaja Atisara,DA10.1,Bloody/inflammatory diarrhea
Pittaja Avasada,6A70.3,Agitated depression
Pittaja Chhardi,DA22.1,Bilious vomiting
Pittaja Grahani,DA41.2,IBS with burning/inflammation
Pittaja Gulma,DD01.1,Inflammatory abdominal mass
Pittaja Hridroga,BA80.2,Inflammatory cardiac condition
Pittaja Jwara,MG30.1,Fever with inflammatory response
Pittaja Kamala,DB10.1,Acute hepatic inflammation
Pittaja Kasa,CA23.1,Inflammatory cough
Pittaja Kushtha,EA61,Contact dermatitis
Pittaja Mutraghata,MB21.1,Inflammatory urinary retention
Pittaja Mutrakrichra,MB20.1,Burning micturition
Pittaja Pandu,3A70.1,Anemia with inflammatory features
Pittaja Parinama Shoola,DA44.2,Ulcer with burning
Pittaja Pleeharoga,DB92.1,Inflammatory splenitis
Pittaja Prameha,5A10.1,Type 2 diabetes with inflammatory pattern
Pittaja Pratishyaya,CA01.1,Rhinitis – infective type
Pittaja Pravahika,DA64.2,Dysentery with abdominal heat
Pittaja Roga,4A00,Hyperacidity disorder
Pittaja Shotha,MG30.1,Inflammatory edema
Pittaja Shwasa,CA40.1,Inflammatory asthma
Pittaja Unmada,6A40.2,Mania-dominant psychosis
Pittaja Vidradhi,1F01.1,Bacterial skin abscess
Pittaja Visuchika,1A07.2,Toxic gastroenteritis
Pittaja Yonivyapad,GA30.1,Vaginal inflammation
Pittasmari,MB64.3,Oxalate calculus
Pleeha Vriddhi,DA01.1,Splenic enlargement
Pleeharoga,DB92,Chronic splenic disorder
Pleehavriddhi,DB91,Splenomegaly
Pleehodara,DB94.2,Splenic ascites
Pliha Granthi,DD19.1,Enlarged spleen
Plihavriddhi,DD19.1,Enlargement of spleen
Plika Shotha,FA80.1,Bursitis
Pradara,GA12,Abnormal vaginal bleeding
Pralapa,6B20,Delirium
Prameha,5A10,Diabetes mellitus unspecified
Prameha Pidaka,5A11.1,Diabetic foot ulcer
Prameha Pidika,DA02.2,Diabetic foot ulcer
Pramehameha,5A21,Diabetic polyuria
Pranavaha Sroto Vikara,CA40,Bronchitis
Pranavrita Shoola,DD90.1,Generalized abdominal pain
Prasava-vyapad,JB20,Obstetric complications unspecified
Pratamak Shwasa,CA22,Acute respiratory distress
Pratamaka,CA42,Acute dyspnea episode
Pratamaka Shwasa,CA23,Cough (acute)
Pratishaya,CA00,Common cold
Pratishyaya,CA01,Acute rhinitis
Pratyayodara,DA25,Indigestion-related abdominal distension
Pravahika,DA62.1,Acute dysentery
Purchase Roga,DB80,Portal hypertension
Putraghni,LA10,Recurrent pregnancy loss
Putraghni Yonivyapad,QA21.0,Recurrent miscarriage
Puyalasa,1F01.3,Suppurative infection
Rajayakshma,1B10,Pulmonary tuberculosis
Rajodosha,MG30,Menstruation disorders
Rajodushti,QA30,Menstrual abnormality
Rakta Pitta,BD72,Upper gastrointestinal bleeding
Raktagulma,DD21.0,Abdominal mass
Raktaja Arsha,MA06.4,Bleeding hemorrhoids
Raktaja Gulma,2B54,Blood-origin abdominal mass
Raktaja Kasa,CA23,Cough
Raktamoksha Vrana,DA00.1,Bleeding wound
Raktapitta,R04.0,Nasal hemorrhage (epistaxis)
Raktapitta Adhoga,BD71,Lower gastrointestinal bleeding
Raktapradara,GA31,Metrorrhagia
Raktarsha,MA01.1,Bleeding hemorrhoids
Raktasrava,MG34,Abnormal uterine bleeding
Raktatisara,DA62,Bloody diarrhea
Raktavrta Vata,BA40,Essential hypertension
Sadhya Vrana,MA20.3,Acute healing wound
Sandhigata Vata,FA32,Osteoarthritis of knee/hip/other joint
Sandhivata,FA03,Osteoarthritis
Sangrahani,DA41.0,Functional bowel disorder
Sannipata,MG50,Systemic inflammatory disorder
Sannipata Anaha,DA15.7,Mixed obstruction
Sannipata Arsha,MA02.7,Mixed hemorrhoids
Sannipata Atisara,DA10.7,Mixed diarrhea
Sannipata Grahani,DA41.7,Mixed-pattern IBS
Sannipata Gulma,DD01.7,Mixed-type abdominal lump
Sannipata Jwara,MG30.3,High fever with systemic involvement
Sannipata Kasa,CA23.7,Mixed-origin cough
Sannipata Mutrakrichra,MB20.7,Mixed-type dysuria
Sannipata Prameha,5A10.7,Mixed-pattern diabetes mellitus
Sannipata Pravahika,DA64.7,Mixed-type dysentery
Sannipata Shotha,MG30.7,Mixed edema
Sannipata Udara,DB94.7,Mixed ascites
Sannipata Unmada,6A40.7,Mixed psychosis
Sannipata Yonivyapad,GA30.7,Mixed-type vaginal disorder
Sannipatika Jwara,1F00.4,Mixed-dosha febrile illness
Sanyasa,MB24,Loss of consciousness
Sarvanga Vata,8B22,Generalized paralysis
Shandatva,GA21.2,Primary impotence
Shandhi Roga,GA30,Sexual dysfunction
Shareera Shaithilya,8E01.4,Body weakness
Sheetada,DA07.2,Chronic gingivitis
Sheetaj Jwara,1F00.2,Cold-induced fever syndrome
Sheetanga,ND82,Peripheral neuropathy
Sheetapitta,T78.3,Allergic urticaria
Shirahshoola,8A80,Migraine without aura
Shirashoola,8A80.0,Primary tension-type headache
Shiro Roga (head disorders - headache cluster),8A80,Migraine without aura (or tension-type per clinical features)
Shiro Roga (Headache),8A80,Migraine without aura
Shirograha,8E02.0,Tension-type headache
Shiroruja (Head Pain),8A80.2,Non-specific headache
Shiroshoola,8A80.0,Headache (unspecified)
Shitada,EA80.4,Chronic eczema
Shleepada,BD70,Lymphedema
Shleshma Shotha,BD24,Lymphadenitis
Shleshmak Roga,CA20,Bronchial hyperreactivity
Shlipada (true lymphatic),1F07,Filarial lymphangitis
Shoka,6A70,Grief reaction
Shoola,DA09.1,Colic pain
Shoola (General Abdominal Pain),DA0Z,Abdominal pain unspecified
Shoola-janya Atisara,DA10.3,Painful diarrhea
Shoola-Visuchika,1A07.1,Food-poisoning with severe cramps
Shopha,MG20,Inflammation (unspecified)
Shotha,MG30,Generalized edema
Shukra Dosha,MB90,Male reproductive disorder NOS
Shukra Kshaya,GA20,Male infertility
Shukra Vriddhi,MB92,Spermatic disorder NOS
Shukra-ksaya,GA21,Male infertility
Shukra-vriddhi,GA20,Testicular swelling
Shukradosha,GA20,Male infertility
Shukradosha-Bahutva,HA40,Abnormal sperm quality
Shukrameha,5A14,Diabetes mellitus with polyuria
Shukrashmari,GB30.0,Calculus of seminal vesicle
Shukravrita Vata,GA20,Infertility due to male factor
Shushka Kasa,CA21.1,Dry cough
Shvitra,EB20,Vitiligo
Shvitra (Shwetakustha),EA80,Vitiligo
Shwas (general),CA40,Respiratory disease (asthma/COPD spectrum)
Shwasa,CA40,Bronchial asthma
Shwasa (Tamaka Shwasa),CA22,Asthma
Shwasa Krichra,CA22.1,Acute exacerbation of asthma
Shwasakrichha,CA22.2,Mild respiratory effort impairment
Shweta Pradara,LA12,Vaginal discharge syndrome
Shwetakushtha,EB20,Vitiligo
Shwitra,EA80.0,Vitiligo
Shwitra (vitiligo),EA80.0,Vitiligo
Sidhma,EA80.0,Non-specific dermatitis
Sleshmasmari,MB64.0,Bladder stone
Snayugata Vata,FA03,Tendinopathy
Stabdhata,8A20,Rigidity
Stana-granthi,GA61,Benign breast lump
Stana-shotha,GA62,Breast inflammation
Stana-vidradhi,GA63,Breast abscess
Stanaroga,GA60,Breast disorders
Stanya Dushti,GA33,Disorders of breast milk
Stanya Kshaya,JA00.1,Lactation failure
Stanya Vriddhi,JA00.2,Galactorrhoea
Sthaulya,5B81,Obesity
Suptata,8E01.0,Numbness of skin
Suryavarta,8A80,Migraine without aura
Swarabheda,CA32,Hoarseness of voice
Talapointa,EA92.2,Superficial fungal infection
Talusrava,CA06,Nasal discharge
Tama Pravesha,9B03.0,Visual blackout
Tamak Shwasa,CA23.1,Chronic bronchial asthma
Tamak Shwasa–Hridroga Overlap,BD24,Heart failure (mild)
Tamaka Shwasa,CA40.0,Allergic asthma
Tamaka Swasa,CA40.1,Allergic asthma
Tamapravesha,MB26.1,Severe dizziness with blackout
Tikshnagni,DA27.1,Excess digestive fire disorder
Tilakalaka,EC20.1,Benign melanocytic nevi
Tilakalikara,R21,Nonspecific skin eruption
Timira,9D70,Refractive error (unspecified)
Timira (Early Cataract),9B71.1,Age-related early lens opacity
Trishna,5B70,Polydipsia
Twak Daha,EA80.3,Skin irritation/burning
Twak Roga,EA80,General skin disorder
Twak Vikara,EA80.0,Non-specific dermatitis
Udaka Kshaya,GB00,Dehydration
Udakameha,5A22,Renal glycosuria
Udara,DB94,Ascites
Udara Meha,DA61,Chronic diarrhea
Udara Roga,MB41,Ascites
Udara Shoola,DD11.0,Acute abdominal pain
Udara Sthoulya,5B52,Obesity abdominal type
Udararoga,DD90.1,Generalized abdominal pain
Udararoga (ascites/abdominal swelling),DB96,Ascites / abdominal fluid (etiology-specific)
Udarda,T78.3,Urticaria
Udavarta,ME82.2,Functional constipation
Udavartini Yonivyapad,GA35,Dysmenorrhea
Udgarabaddhata,DA93,Eructation disorder
Udumbara Kushtha,EA80.0,Non-specific dermatitis
Unmada,6A20,Acute psychosis
Upadrava Prameha,5A15,Diabetic complications
Upakusha,DA07.1,Periodontitis
Urah Daha,CA00.2,Substernal burning
Urah Shoola,BA20.0,Chest wall pain
Urashula,BA40,Chest pain
Urdhva Shwasa,CB20,Respiratory distress (unspecified)
Urdhvaga Amlapitta,DA25.1,GERD with regurgitation
Urdhvaga Raktapitta,MB20.1,Hematemesis
Urdhwaga Amlapitta,DA63,Gastro-esophageal reflux disease
Urdhwaga Chhardi,DA22.0,Acute vomiting
Utklesha,DA61.2,Nausea
Utkshepa,8E01.2,Vertigo
Utthana Vatarakta,FA80.0,Acute gout flare
Vaksha Gata Roga,BA20.1,Non-cardiac chest pain
Valmika,NE83.0,Carbuncle
Vata Kantaka,ND92.1,Calcaneal spur
Vata Rakta,FA80,Chronic gout due to renal impairment
Vata Rakta Shopha,FA80.2,Gouty swelling
Vata Shoola,DA09.2,Nerve-related abdominal pain
Vata Shotha,MG30.2,Inflammatory edema
Vata Vriddhi,8D60,Neuromuscular imbalance
Vata Vyadhi,8E40,Peripheral neuropathy
Vataja Anaha,DA15.0,Functional bowel obstruction
Vataja Anidra,7B00.1,Difficulty initiating sleep
Vataja Annadrava Shoola,DA45.2,Crampy gastric pain
Vataja Apasmara,8E40.0,Generalized epilepsy
Vataja Arsha,MA02.0,Painful hemorrhoids
Vataja Artava-dushti,GA33.3,Irregular painful bleeding
Vataja Atisara,DA10.0,Watery diarrhea
Vataja Avasada,6A70.4,Anxious depression
Vataja Galaganda,5C73.1,Goiter with compressive symptoms
Vataja Grahani,DA41.1,IBS with constipation
Vataja Gulma,DD01.0,Spasmodic abdominal lump
Vataja Hikka,CA20.2,Spasmodic hiccups
Vataja Hridroga,BA80.1,Arrhythmia-type cardiac disorder
Vataja Jwara,MG30.0,Fever with chills
Vataja Kamala,DB10.3,Neuromuscular jaundice presentation
Vataja Kasa,CA23.0,Dry cough
Vataja Kushtha,EA80.3,Dry eczema
